CÓDIGO,AÑO,ENE,FEB.,MAR.,ABR.,MAY.,JUN.,JUL.,AGO.,SEP.,OCT.,NOV.,DIC.
146006-ZMH,2017,0,0,0,0,0,0,0,0,14,7,11,1
146009-AMI,2017,0,0,0,0,0,0,0,0,0,3,0,0
146010-JMR,2017,0,0,0,0,0,0,0,0,3,2,1,1
146011-SMA,2017,0,0,0,0,0,0,0,0,1,0,2,0
146012-BMJ,2017,0,0,0,0,0,0,0,0,0,4,3,0
146013-KMS,2017,0,0,0,0,0,0,0,0,4,1,1,0
146014-TMB,2017,0,0,0,0,0,0,0,0,0,3,56,11
146015-CMK,2017,0,0,0,0,0,0,0,0,3,1,0,0
146016-LMT,2017,0,0,0,0,0,0,0,0,0,0,0,34
146017-UMC,2017,0,0,0,0,0,0,0,0,7,0,23,7
146018-DML,2017,0,0,0,0,0,0,0,0,0,1,1,0
146019-MMU,2017,0,0,0,0,0,0,0,0,1,5,36,12
146020-VMD,2017,0,0,0,0,0,0,0,0,3,4,8,1
146021-EMM,2017,0,0,0,0,0,0,0,0,0,0,54,0
146022-NMV,2017,0,0,0,0,0,0,0,0,2,1,2,0
146023-WME,2017,0,0,0,0,0,0,0,0,19,10,39,1
146024-FMN,2017,0,0,0,0,0,0,0,0,0,0,0,55
146027-GMO,2017,0,0,0,0,0,0,0,0,14,7,16,3
146028-PMX,2017,0,0,0,0,0,0,0,0,0,0,0,1
146029-YMG,2017,0,0,0,0,0,0,0,0,7,3,29,8
146031-QMY,2017,0,0,0,0,0,0,0,0,0,0,18,60
146032-ZNH,2017,0,0,0,0,0,0,0,0,10,8,22,1
146039-KNS,2017,0,0,0,0,0,0,0,0,2,2,0,0
146042-LNT,2017,0,0,0,0,0,0,0,0,0,0,0,5
146044-DNL,2017,0,0,0,0,0,0,0,0,0,0,27,0
146047-ENM,2017,0,0,0,0,0,0,0,0,0,0,20,5
146050-FNN,2017,0,0,0,0,0,0,0,0,2,2,0,2
146051-ONW,2017,0,0,0,0,0,0,0,0,0,0,0,20
146052-XNF,2017,0,0,0,0,0,0,0,0,0,5,1,3
146053-GNO,2017,0,0,0,0,0,0,0,0,0,0,0,8
146054-PNX,2017,0,0,0,0,0,0,0,0,0,0,4,17
146056-HNP,2017,0,0,0,0,0,0,0,0,3,2,21,17
